## MB CDI: WGs

# Note: no stress, alternates (/) on separate lines, phrases on same line, shh removed

Children
Word      	Length    	PS1       	PS2       	PS3       	PS4       	PS5       	PS6       	PS7       	PS8       	PS9       	PS10      	PS11      	PS12      	PS13      	PS14      	PS15      	PS16      	PS sum    	PS avg    	B1        	B2        	B3        	B4        	B5        	B6        	B7        	B8        	B9        	B10       	B11       	B12       	B13       	B14       	B15       	B sum     	B avg     	ND        	Neighbors 
tig4e     	5         	0.064761  	0.097923  	0.024834  	0.05643   	0.096101  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.340049  	0.06801   	0.008651  	0.004011  	0.001471  	0.013131  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.027263  	0.006816  	0         	
to4tuga   	7         	0.064761  	0.157271  	0.117979  	0.07204   	0.01251   	0.011238  	0.185051  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.620851  	0.088693  	0.015488  	0.024187  	0.012671  	0.001694  	0.001383  	0.006958  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.062382  	0.010397  	0         	
baka      	4         	0.079747  	0.24001   	0.053823  	0.189762  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.563342  	0.140836  	0.027546  	0.010121  	0.019312  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.05698   	0.018993  	12        	aka baxa bata taka saka ba4ka bara bala kaka baLa bako boka 
benado    	6         	0.079747  	0.148072  	0.090652  	0.189762  	0.042008  	0.143672  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.693914  	0.115652  	0.01595   	0.018219  	0.008982  	0.010466  	0.019371  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.072988  	0.014598  	1         	Zenado 
abjon     	5         	0.101366  	0.014938  	0.005518  	0.122568  	0.076529  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.320917  	0.064183  	0.012321  	0.000431  	0.001671  	0.020617  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.035038  	0.00876   	0         	
ba4ko     	5         	0.079747  	0.24001   	0.117979  	0.02958   	0.086982  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.554299  	0.11086   	0.027546  	0.048279  	0.009866  	0.009109  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.0948    	0.0237    	5         	bako banko ma4ko Ca4ko ba4ka 
biTikleta 	9         	0.079747  	0.097923  	0.020257  	0.09605   	0.02546   	0.037877  	0.072656  	0.057578  	0.197368  	--        	--        	--        	--        	--        	--        	--        	0.684917  	0.076102  	0.008677  	0.002186  	0.006167  	0.008085  	0.000919  	0.004871  	0.014812  	0.084141  	--        	--        	--        	--        	--        	--        	--        	0.129857  	0.016232  	0         	
kamjond...	10        	0.135646  	0.24001   	0.048747  	0.020301  	0.086982  	0.069389  	0.023646  	0.053499  	N/A       	0.200143  	N/A       	N/A       	N/A       	N/A       	N/A       	N/A       	0.878365  	0.054898  	0.056733  	0.019211  	0.001224  	0.008055  	0.0151    	0.007327  	0.002089  	0         	0         	0         	0         	0         	0         	0         	0         	0.109739  	0.007316  	0         	
kamjon    	6         	0.135646  	0.24001   	0.048747  	0.020301  	0.086982  	0.069389  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.601076  	0.100179  	0.056733  	0.019211  	0.001224  	0.008055  	0.0151    	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.100323  	0.020065  	0         	
t4oka     	5         	0.064761  	0.052715  	0.028331  	0.02958   	0.172201  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.347587  	0.069517  	0.01382   	0.005984  	0.000349  	0.013465  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.033618  	0.008405  	2         	toka t4ona 
kareola   	7         	0.135646  	0.24001   	0.015595  	0.119055  	0.086982  	0.037877  	0.185051  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.820218  	0.117174  	0.056733  	0.004812  	0.00349   	0.001475  	0.00416   	0.014097  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.084766  	0.014128  	0         	
karo      	4         	0.135646  	0.24001   	0.015595  	0.122568  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.51382   	0.128455  	0.056733  	0.004812  	0.00493   	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.066475  	0.022158  	8         	kao kaso ka4o kaCo kaTo kabo baro koro 
koCe      	4         	0.135646  	0.157271  	0.015547  	0.119055  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.42752   	0.10688   	0.042469  	0.003844  	0.004279  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.050592  	0.016864  	4         	koxe noCe kole koCo 
moto      	4         	0.084687  	0.157271  	0.051006  	0.122568  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.415531  	0.103883  	0.016345  	0.006417  	0.01097   	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.033732  	0.011244  	8         	moro mono monto moko foto moTo boto moJo 
t4en      	4         	0.064761  	0.052715  	0.07349   	0.036554  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.22752   	0.05688   	0.01382   	0.010467  	0.010776  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.035063  	0.011688  	1         	t4es 
agwa      	4         	0.101366  	0.006677  	0.006026  	0.189762  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.303831  	0.075958  	0.004681  	0.002871  	0.002645  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.010196  	0.003399  	1         	gwa 
aroT      	4         	0.101366  	0.004584  	0.028331  	0.015876  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.150157  	0.037539  	0.004091  	0.001276  	0.001863  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.00723   	0.00241   	0         	
atole     	5         	0.101366  	0.006095  	0.028331  	0.02183   	0.096101  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.253723  	0.050745  	0.004456  	0.000507  	0.001096  	0.002903  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.008961  	0.00224   	0         	
kafe      	4         	0.135646  	0.24001   	0.007712  	0.119055  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.502424  	0.125606  	0.056733  	0.001644  	0.002769  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.061146  	0.020382  	1         	kaLe 
ka4ne     	5         	0.135646  	0.24001   	0.117979  	0.036554  	0.096101  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.626292  	0.125258  	0.056733  	0.048279  	0.003236  	0.004511  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.112759  	0.02819   	0         	
Te4eal    	6         	0.016524  	0.148072  	0.117979  	0.119055  	0.172201  	0.037877  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.611709  	0.101952  	0.005969  	0.021046  	0.011282  	0.00508   	0.012151  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.055527  	0.011105  	0         	
Cile      	4         	0.01618   	0.097923  	0.078773  	0.119055  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.311931  	0.077983  	0.007695  	0.004993  	0.012718  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.025406  	0.008469  	1         	Cikle 
