## MB CDI: WGs

# Note: no stress, alternates (/) on separate lines, phrases on same line, shh removed

Children
Word      	Length    	PS1       	PS2       	PS3       	PS4       	PS5       	PS6       	PS7       	PS8       	PS9       	PS10      	PS11      	PS12      	PS13      	PS14      	PS15      	PS16      	PS sum    	PS avg    	B1        	B2        	B3        	B4        	B5        	B6        	B7        	B8        	B9        	B10       	B11       	B12       	B13       	B14       	B15       	B sum     	B avg     	ND        	Neighbors 
sofa      	4         	0.058275  	0.157271  	0.007712  	0.189762  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.41302   	0.103255  	0.010249  	0.001308  	0.002303  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.01386   	0.00462   	2         	sopa soga 
telebisjon	10        	0.064761  	0.148072  	0.078773  	0.119055  	0.008453  	0.067555  	0.029998  	0.012019  	0.208921  	0.062503  	--        	--        	--        	--        	--        	--        	0.800109  	0.080011  	0.010008  	0.014524  	0.012718  	0.00183   	0.003054  	0.006045  	0.004065  	0.014861  	0.034917  	--        	--        	--        	--        	--        	--        	0.10202   	0.011336  	0         	
tina      	4         	0.064761  	0.097923  	0.090652  	0.189762  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.443098  	0.110774  	0.008651  	0.014911  	0.008982  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.032545  	0.010848  	4         	tita ti4a tiTa tino 
bentana   	7         	0.079747  	0.148072  	0.090652  	0.07204   	0.172201  	0.069389  	0.185051  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.817154  	0.116736  	0.01595   	0.018219  	0.02692   	0.0387    	0.017919  	0.024621  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.142329  	0.023722  	0         	
albe4ka   	7         	0.101366  	0.02996   	0.048595  	0.119055  	0.160437  	0.008345  	0.185051  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.652809  	0.093258  	0.011089  	0.001694  	0.011422  	0.040049  	0         	0.003012  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.067266  	0.011211  	0         	
pisTina   	7         	0.112732  	0.097923  	0.071438  	0.015876  	0.057341  	0.069389  	0.185051  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.609751  	0.087107  	0.017266  	0.012522  	0.000715  	0.002446  	0.018639  	0.024621  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.076209  	0.012701  	0         	
a4bol     	5         	0.101366  	0.052715  	0.048595  	0.122568  	0.040089  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.365332  	0.073066  	0.005532  	0.000889  	0.007986  	0.006032  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.020439  	0.00511   	0         	
kaLe      	4         	0.135646  	0.24001   	0.019693  	0.119055  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.514405  	0.128601  	0.056733  	0.009796  	0.004311  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.07084   	0.023613  	3         	kafe baLe kaLa 
kampo     	5         	0.135646  	0.24001   	0.048747  	0.027504  	0.086982  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.53889   	0.107778  	0.056733  	0.019211  	0.010888  	0.004478  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.091309  	0.022827  	0         	
kasa      	4         	0.135646  	0.24001   	0.071438  	0.189762  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.636857  	0.159214  	0.056733  	0.017283  	0.01228   	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.086296  	0.028765  	15        	asa kaxa kata kasa4 ka4a kapa kama kaka kada kaTa kaJa kaLa kaso kosa kasi 
Tjelo     	5         	0.016524  	0.023754  	0.07349   	0.02183   	0.086982  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.22258   	0.044516  	0.002398  	0.018609  	0.007956  	0.002599  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.031562  	0.00789   	2         	jelo Tjero 
kolumpjo  	8         	0.135646  	0.157271  	0.078773  	0.023271  	0.012244  	0.00476   	0.023026  	0.210379  	--        	--        	--        	--        	--        	--        	--        	--        	0.645371  	0.080671  	0.042469  	0.026136  	0.003549  	0.002781  	0.003963  	0.006028  	0.021186  	--        	--        	--        	--        	--        	--        	--        	--        	0.106111  	0.015159  	0         	
eskwela   	7         	0.055104  	0.033445  	0.053823  	0.005261  	0.096101  	0.037877  	0.185051  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.466662  	0.066666  	0.022948  	0.012059  	0.00223   	0.004783  	0.016     	0.014097  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.072117  	0.01202   	0         	
est4eLa   	7         	0.055104  	0.033445  	0.051006  	0.05643   	0.096101  	0.012806  	0.185051  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.489944  	0.069992  	0.022948  	0.009491  	0.006049  	0.013131  	0.001459  	0.010376  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.063453  	0.010576  	0         	
fjesta    	6         	0.026585  	0.023754  	0.07349   	0.029895  	0.079448  	0.226442  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.459613  	0.076602  	0.000871  	0.018609  	0.007019  	0.014326  	0.055197  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.096022  	0.019204  	1         	sjesta 
flo4      	4         	0.026585  	0.02996   	0.028331  	0.05643   	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.141305  	0.035326  	0.002757  	0.001783  	0.003775  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.008315  	0.002772  	1         	olo4 
iglesja   	7         	0.016364  	0.006677  	0.078773  	0.119055  	0.021509  	0.014285  	0.185051  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.441715  	0.063102  	0.001503  	0.000253  	0.012718  	0.006051  	0.001233  	0.01155   	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.033309  	0.005551  	0         	
templo    	6         	0.064761  	0.148072  	0.048747  	0.027504  	0.040089  	0.143672  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.472844  	0.078807  	0.010008  	0.003095  	0.010888  	0.003227  	0.007936  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.035154  	0.007031  	0         	
xa4din    	6         	0.024177  	0.24001   	0.117979  	0.029349  	0.057341  	0.069389  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.538246  	0.089708  	0.006493  	0.048279  	0.008501  	0.003194  	0.018639  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.085105  	0.017021  	0         	
Zubja     	5         	0.011097  	0.060123  	0.048595  	0.020301  	0.172201  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.312317  	0.062463  	0.00108   	0.004109  	0.004463  	0.007689  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.017341  	0.004335  	0         	
luna      	4         	0.029934  	0.060123  	0.090652  	0.189762  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.370471  	0.092618  	0.003619  	0.007224  	0.008982  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.019826  	0.006609  	2         	kuna luCa 
nube      	4         	0.027132  	0.060123  	0.048595  	0.119055  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.254905  	0.063726  	0.002282  	0.004109  	0.011422  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.017813  	0.005938  	0         	
pa4ke     	5         	0.112732  	0.24001   	0.117979  	0.02958   	0.096101  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.596402  	0.11928   	0.034335  	0.048279  	0.009866  	0.005703  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.098183  	0.024546  	3         	pa4te pa4Ce po4ke 
pjed4a    	6         	0.112732  	0.023754  	0.07349   	0.029349  	0.160437  	0.226442  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.626203  	0.104367  	0.0043    	0.018609  	0.00197   	0.002924  	0.024807  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.05261   	0.010522  	0         	
planta    	6         	0.112732  	0.02996   	0.072185  	0.036554  	0.079448  	0.226442  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.55732   	0.092887  	0.003425  	0.012534  	0.014452  	0.008816  	0.055197  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.094424  	0.018885  	1         	planCa 
plaLa     	5         	0.112732  	0.02996   	0.072185  	0.003433  	0.172201  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.390511  	0.078102  	0.003425  	0.012534  	0.00166   	0.003528  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.021148  	0.005287  	1         	plaTa 
rezbala...	10        	0.032215  	0.148072  	0.003894  	0.031384  	0.172201  	0.037877  	0.185051  	0.011723  	0.034524  	0.022097  	0.181086  	--        	--        	--        	--        	--        	0.860126  	0.078193  	0.013985  	0.002683  	0.001343  	0.014719  	0.012151  	0.014097  	0.0053    	0         	0.022097  	0.063039  	--        	--        	--        	--        	--        	0.149414  	0.014941  	0         	
sol       	3         	0.058275  	0.157271  	0.078773  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.294319  	0.098106  	0.010249  	0.026136  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.036385  	0.018193  	5         	so gol bol solo sal 
teCo      	4         	0.064761  	0.148072  	0.015547  	0.122568  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.350948  	0.087737  	0.010008  	0.00229   	0.00376   	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.016058  	0.005353  	1         	teo 
tjenda    	6         	0.064761  	0.023754  	0.07349   	0.036554  	0.042008  	0.226442  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.467009  	0.077835  	0.001633  	0.018609  	0.010776  	0.004667  	0.024709  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.060395  	0.012079  	0         	
me4kado   	7         	0.084687  	0.148072  	0.117979  	0.02958   	0.172201  	0.028916  	0.15296   	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.734394  	0.104913  	0.013667  	0.021046  	0.009866  	0.013465  	0.009819  	0.018476  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.086339  	0.01439   	0         	
Tooloxiko 	9         	0.016524  	0.157271  	0.028331  	0.02183   	0.086982  	0.008296  	0.055462  	0.011366  	0.208921  	--        	--        	--        	--        	--        	--        	--        	0.594984  	0.066109  	0.000247  	0         	0.001096  	0.002599  	0         	0         	0.011366  	0.021374  	--        	--        	--        	--        	--        	--        	--        	0.036682  	0.004585  	0         	
abwela    	6         	0.101366  	0.014938  	0.006026  	0.119055  	0.040089  	0.226442  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.507915  	0.084652  	0.012321  	0.000831  	0.003075  	0.010142  	0.016392  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.04276   	0.008552  	1         	abwelo 
abwelo    	6         	0.101366  	0.014938  	0.006026  	0.119055  	0.040089  	0.143672  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.425145  	0.070858  	0.012321  	0.000831  	0.003075  	0.010142  	0.007936  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.034304  	0.006861  	0         	
bebe      	4         	0.079747  	0.148072  	0.048595  	0.119055  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.39547   	0.098867  	0.01595   	0.007186  	0.011422  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.034558  	0.011519  	2         	bebe4 beba 
familja   	7         	0.026585  	0.24001   	0.048747  	0.09605   	0.040089  	0.014285  	0.185051  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.650816  	0.092974  	0.003638  	0.019211  	0.006982  	0.003777  	0.000498  	0.01155   	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.045655  	0.007609  	0         	
e4mana    	6         	0.055104  	0.052715  	0.048747  	0.189762  	0.076529  	0.226442  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.649298  	0.108216  	0.002764  	0.002226  	0.013656  	0.015245  	0.020422  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.054313  	0.010863  	1         	e4mano 
e4mano    	6         	0.055104  	0.052715  	0.048747  	0.189762  	0.076529  	0.143672  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.566528  	0.094421  	0.002764  	0.002226  	0.013656  	0.015245  	0.010822  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.044712  	0.008942  	0         	
mad4ina   	7         	0.084687  	0.24001   	0.028468  	0.05643   	0.057341  	0.069389  	0.185051  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.721377  	0.103054  	0.033765  	0.007647  	0.005405  	0.007642  	0.018639  	0.024621  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.097718  	0.016286  	1         	ma4ina 
maest4a   	7         	0.084687  	0.24001   	0.07349   	0.029895  	0.079448  	0.153336  	0.185051  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.845917  	0.120845  	0.033765  	0.001765  	0.007019  	0.014326  	0.007549  	0.02564   	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.090064  	0.015011  	0         	
mama      	4         	0.084687  	0.24001   	0.048747  	0.189762  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.563205  	0.140801  	0.033765  	0.019211  	0.013656  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.066631  	0.02221   	7         	ama mata mama4 rama kama Zama mami 
mami      	4         	0.084687  	0.24001   	0.048747  	0.09605   	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.469494  	0.117373  	0.033765  	0.019211  	0.006982  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.059957  	0.019986  	3         	ma4i momi mama 
nana      	4         	0.027132  	0.24001   	0.090652  	0.189762  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.547557  	0.136889  	0.008919  	0.025624  	0.008982  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.043526  	0.014509  	5         	ana rana gana nada naLa 
niJo      	4         	0.027132  	0.097923  	0.012591  	0.122568  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.260215  	0.065054  	0.00334   	0.001365  	0.005459  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.010164  	0.003388  	1         	nido 
niJa      	4         	0.027132  	0.097923  	0.012591  	0.189762  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.327409  	0.081852  	0.00334   	0.001365  	0.003615  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.00832   	0.002773  	2         	riJa niJo 
pad4ino   	7         	0.112732  	0.24001   	0.028468  	0.05643   	0.057341  	0.069389  	0.15296   	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.71733   	0.102476  	0.034335  	0.007647  	0.005405  	0.007642  	0.018639  	0.008799  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.082466  	0.013744  	0         	
papa      	4         	0.112732  	0.24001   	0.030267  	0.189762  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.57277   	0.143193  	0.034335  	0.008995  	0.011401  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.05473   	0.018243  	10        	paxa pata tapa pa4a pala kapa papo papi pipa pepa 
papi      	4         	0.112732  	0.24001   	0.030267  	0.09605   	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.479059  	0.119765  	0.034335  	0.008995  	0.008096  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.051425  	0.017142  	5         	papin papo pipi pepi papa 
pe4sona   	7         	0.112732  	0.148072  	0.117979  	0.029895  	0.086982  	0.069389  	0.185051  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.750101  	0.107157  	0.023203  	0.021046  	0.001217  	0.002553  	0.0151    	0.024621  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.08774   	0.014623  	0         	
seJo4     	5         	0.058275  	0.148072  	0.012591  	0.122568  	0.160437  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.501944  	0.100389  	0.012288  	0.003639  	0.005459  	0.014963  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.036349  	0.009087  	0         	
seJo4a    	6         	0.058275  	0.148072  	0.012591  	0.122568  	0.160437  	0.226442  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.728386  	0.121398  	0.012288  	0.003639  	0.005459  	0.014963  	0.024807  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.061156  	0.012231  	1         	seJo4 
tia       	3         	0.064761  	0.097923  	0.072185  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.234869  	0.07829   	0.008651  	0.001548  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.0102    	0.0051    	9         	ti ta tita ti4a ria mia dia tiTa tio 
tio       	3         	0.064761  	0.097923  	0.028331  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.191014  	0.063671  	0.008651  	0.002487  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.011138  	0.005569  	7         	ti ti4o rio tino mio lio teo 
aTerin    	6         	0.101366  	0.005502  	0.07349   	0.005287  	0.057341  	0.069389  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.312375  	0.052062  	0.005047  	0.002526  	0.002169  	0.001314  	0.018639  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.029694  	0.005939  	0         	
adios     	5         	0.101366  	0.005896  	0.035894  	0.122568  	0.021509  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.287232  	0.057446  	0.003745  	0.000253  	0.000967  	0.00318   	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.008146  	0.002036  	1         	adjos 
bjebje    	6         	0.079747  	0.023754  	0.07349   	0.031384  	0.017844  	0.084942  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.311161  	0.05186   	0.003241  	0.018609  	0.002794  	0.005053  	0.006157  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.035853  	0.007171  	0         	
besitos   	7         	0.079747  	0.148072  	0.071438  	0.09605   	0.079448  	0.143672  	0.029998  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.648425  	0.092632  	0.01595   	0.020117  	0.007381  	0.021184  	0.022216  	0.005979  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.092827  	0.015471  	0         	
bwenazdia 	9         	0.079747  	0.036638  	0.07349   	0.036554  	0.172201  	0.000498  	0.023646  	0.042724  	0.197368  	--        	--        	--        	--        	--        	--        	--        	0.662867  	0.073652  	0.001653  	0.019269  	0.010776  	0.006019  	0.000498  	0         	0.002572  	0.014914  	--        	--        	--        	--        	--        	--        	--        	0.055701  	0.006963  	0         	
bwenazn...	10        	0.079747  	0.036638  	0.07349   	0.036554  	0.172201  	0.000498  	0.087029  	0.210379  	0.013366  	0.054541  	0.136821  	--        	--        	--        	--        	--        	0.901265  	0.081933  	0.001653  	0.019269  	0.010776  	0.006019  	0.000498  	0         	0.019826  	0         	0         	0.058123  	--        	--        	--        	--        	--        	0.116164  	0.011616  	0         	
koskiLitas	10        	0.135646  	0.157271  	0.071438  	0.02958   	0.057341  	0.012806  	0.055462  	0.057578  	0.197368  	0.126971  	--        	--        	--        	--        	--        	--        	0.901462  	0.090146  	0.042469  	0.010354  	0.007473  	0.003835  	0.009965  	0.001279  	0.020112  	0.084141  	0.027586  	--        	--        	--        	--        	--        	--        	0.207214  	0.023024  	0         	
g4aTjas   	7         	0.02703   	0.052715  	0.072185  	0.015876  	0.017844  	0.226442  	0.029998  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.44209   	0.063156  	0.005732  	0.013674  	0.00217   	0.004512  	0.009348  	0.004374  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.039809  	0.006635  	1         	g4aTja 
aTe4lameme	10        	0.101366  	0.005502  	0.07349   	0.05643   	0.040089  	0.226442  	0.002599  	0.053499  	N/A       	0.054541  	--        	--        	--        	--        	--        	--        	0.613957  	0.061396  	0.005047  	0.002526  	0.015321  	0         	0.016392  	0.001732  	0.001606  	0         	0         	--        	--        	--        	--        	--        	--        	0.042624  	0.004736  	0         	
ola       	3         	0.0235    	0.02996   	0.072185  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.125645  	0.041882  	0.00372   	0.012534  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.016255  	0.008127  	9         	oxa o4a ora mola oka kola bola ole ala 
no        	2         	0.027132  	0.157271  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.184403  	0.092202  	0.006192  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.006192  	0.006192  	9         	o xo nos so po do Zo uno ni 
oxitos    	6         	0.0235    	0.003044  	0.035894  	0.07204   	0.086982  	0.01607   	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.23753   	0.039588  	0.001636  	0.00033   	0.003729  	0.015921  	0.002602  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.024218  	0.004844  	1         	oxito 
po4fabo4  	8         	0.112732  	0.157271  	0.117979  	0.002698  	0.172201  	0.008631  	0.15296   	0.198574  	--        	--        	--        	--        	--        	--        	--        	--        	0.923046  	0.115381  	0.01493   	0.024187  	0.000742  	0.000876  	0.001644  	0.001127  	0.016593  	--        	--        	--        	--        	--        	--        	--        	--        	0.060099  	0.008586  	0         	
salud     	5         	0.058275  	0.24001   	0.078773  	0.023271  	0.042008  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.442337  	0.088467  	0.017186  	0.024084  	0.003549  	0.003202  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.04802   	0.012005  	1         	saluda 
si        	2         	0.058275  	0.097923  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.156199  	0.078099  	0.006794  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.006794  	0.006794  	15        	i xi wi ti sin ni mi Ci su so oi se ei ai asi 
tengoma...	10        	0.064761  	0.148072  	0.090652  	0.018881  	0.086982  	0.003983  	0.185051  	0.063688  	0.034524  	0.045531  	0.181086  	--        	--        	--        	--        	--        	0.923212  	0.083928  	0.010008  	0.018219  	0.004023  	0.009169  	0         	0         	0.010326  	0         	0.013793  	0.039349  	--        	--        	--        	--        	--        	0.104886  	0.010489  	0         	
to4tiLitas	10        	0.064761  	0.157271  	0.117979  	0.07204   	0.057341  	0.012806  	0.055462  	0.057578  	0.197368  	0.126971  	--        	--        	--        	--        	--        	--        	0.919578  	0.091958  	0.015488  	0.024187  	0.012671  	0.013863  	0.009965  	0.001279  	0.020112  	0.084141  	0.027586  	--        	--        	--        	--        	--        	--        	0.209293  	0.023255  	0         	
unodost4es	10        	0.006818  	0.034769  	0.028331  	0.029349  	0.086982  	0.01607   	0.094728  	0.198574  	0.063263  	0.126971  	--        	--        	--        	--        	--        	--        	0.685854  	0.068585  	0.002533  	0.001882  	0         	0.007901  	0.002602  	0.001993  	0.002089  	0         	0.023434  	--        	--        	--        	--        	--        	--        	0.042433  	0.004715  	0         	
ab4i4     	5         	0.101366  	0.014938  	0.117979  	0.09605   	0.160437  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.49077   	0.098154  	0.012321  	0.00509   	0.014094  	0.012155  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.04366   	0.010915  	1         	ab4il 
akaba4    	6         	0.101366  	0.010599  	0.072185  	0.031384  	0.172201  	0.153336  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.541072  	0.090179  	0.005867  	0.002885  	0.005658  	0.014719  	0.086069  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.115198  	0.02304   	0         	
apaga4    	6         	0.101366  	0.006226  	0.072185  	0.018881  	0.172201  	0.153336  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.524195  	0.087366  	0.005979  	0.002677  	0.001893  	0.007433  	0.086069  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.104052  	0.02081   	0         	
apu4a4    	6         	0.101366  	0.006226  	0.013386  	0.05643   	0.172201  	0.153336  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.502945  	0.083824  	0.005979  	0.000825  	0.001062  	0.008125  	0.086069  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.102061  	0.020412  	0         	
abenta4   	7         	0.101366  	0.014938  	0.07349   	0.036554  	0.079448  	0.226442  	0.173477  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.705714  	0.100816  	0.012321  	0.00323   	0.010776  	0.008816  	0.055197  	0.11588   	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.206219  	0.03437   	0         	
aLuda4    	6         	0.101366  	0.003959  	0.013386  	0.029349  	0.172201  	0.153336  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.473597  	0.078933  	0.002929  	0.001054  	0.001117  	0.009599  	0.086069  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.100769  	0.020154  	1         	aLuda 
baila4    	6         	0.079747  	0.24001   	0.035894  	0.02183   	0.172201  	0.153336  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.703019  	0.11717   	0.027546  	0.004977  	0.000934  	0.008037  	0.086069  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.127563  	0.025513  	0         	
b4inka4   	7         	0.079747  	0.052715  	0.035894  	0.036554  	0.02546   	0.226442  	0.173477  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.630289  	0.090041  	0.001652  	0.012544  	0.003192  	0.004604  	0.014324  	0.11588   	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.152196  	0.025366  	0         	
kae4      	4         	0.135646  	0.24001   	0.07349   	0.05643   	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.505577  	0.126394  	0.056733  	0.001765  	0.015321  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.073819  	0.024606  	1         	kabe4 
kamina4   	7         	0.135646  	0.24001   	0.048747  	0.09605   	0.076529  	0.226442  	0.173477  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.9969    	0.142414  	0.056733  	0.019211  	0.006982  	0.016484  	0.020422  	0.11588   	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.235712  	0.039285  	0         	
kanta4    	6         	0.135646  	0.24001   	0.090652  	0.07204   	0.172201  	0.153336  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.863887  	0.143981  	0.056733  	0.025624  	0.02692   	0.0387    	0.086069  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.234047  	0.046809  	2         	kansa4 konta4 
