Children
Word      	Length    	PS1       	PS2       	PS3       	PS4       	PS5       	PS6       	PS7       	PS8       	PS9       	PS10      	PS11      	PS12      	PS13      	PS14      	PS15      	PS sum    	PS avg    	B1        	B2        	B3        	B4        	B5        	B6        	B7        	B8        	B9        	B10       	B11       	B12       	B13       	B14       	B sum     	B avg     	ND        	Neighbors 
xi4Afa    	6         	0.018094  	0.051302  	0.103669  	0.100855  	0.000944  	0.145787  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.42065   	0.070108  	0.000827  	0.009797  	0.014977  	0         	0.000705  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.026306  	0.005261  	0         	
o4mIga    	6         	0.010558  	0.0468    	0.054628  	0.067935  	0.006539  	0.145787  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.332248  	0.055375  	0.003087  	0.003027  	0.004689  	0.000983  	0.003053  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.014837  	0.002967  	2         	o4mIgas o4mIga 
ipopOtamo 	9         	0.009948  	0.008543  	0.017241  	0.029669  	0.014206  	0.050821  	0.120673  	0.010508  	0.233056  	--        	--        	--        	--        	--        	--        	0.494666  	0.054963  	0         	0.00026   	0.000626  	0.000604  	0.000427  	0.021302  	0.002315  	0.018544  	--        	--        	--        	--        	--        	--        	0.044077  	0.00551   	0         	
gwaxolOte 	9         	0.025131  	0.042496  	0.039934  	0.007919  	0.056409  	0.041889  	0.014493  	0.056708  	0.050726  	--        	--        	--        	--        	--        	--        	0.335706  	0.037301  	0.006195  	0.004382  	0.000721  	0.000882  	0.001168  	0.002811  	0         	0.023013  	--        	--        	--        	--        	--        	--        	0.039171  	0.004896  	0         	
gAto      	4         	0.025131  	0.084683  	0.060157  	0.072013  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.241984  	0.060496  	0.00237   	0.004977  	0.006074  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.013421  	0.004474  	9         	Ato gAtos rAto pAto ganO matO mAto gAta gAto 
gAnso     	5         	0.025131  	0.084683  	0.09504   	0.032601  	0.056409  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.293864  	0.058773  	0.00237   	0.010453  	0.003486  	0.001212  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.017522  	0.00438   	3         	ganO kAnso gAnCo 
gaLIna    	6         	0.025131  	0.125889  	0.018346  	0.067935  	0.092861  	0.145787  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.475949  	0.079325  	0.004401  	0.006074  	0.002066  	0.004843  	0.008658  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.026043  	0.005209  	1         	gaLIna 
fOka      	4         	0.018093  	0.06341   	0.052741  	0.116044  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.250288  	0.062572  	0.001005  	0.00432   	0.012519  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.017844  	0.005948  	6         	Oka tOka pOka lOka COka bOka 
elefAnte  	8         	0.057527  	0.021638  	0.019194  	0.001773  	0.071004  	0.082653  	0.080349  	0.064852  	--        	--        	--        	--        	--        	--        	--        	0.39899   	0.049874  	0.001884  	0.001837  	0.000354  	0.000416  	0.016999  	0.01424   	0.02112   	--        	--        	--        	--        	--        	--        	--        	0.05685   	0.008121  	2         	elefAntes elefAnte 
konExo    	6         	0.137479  	0.103575  	0.09504   	0.054536  	0.012945  	0.13705   	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.540626  	0.090104  	0.038837  	0.01983   	0.005494  	0.001221  	0.002995  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.068378  	0.013676  	1         	konExo 
kokod4Ilo 	9         	0.137479  	0.103575  	0.052741  	0.072013  	0.052903  	0.082783  	0.041735  	0.023358  	0.233056  	--        	--        	--        	--        	--        	--        	0.799643  	0.088849  	0.038837  	0.005627  	0.011622  	0.001167  	0.000854  	0.009132  	0.002315  	0.019823  	--        	--        	--        	--        	--        	--        	0.089377  	0.011172  	2         	kokod4Ilos kokod4Ilo 
TEb4a     	5         	0.016355  	0.052485  	0.054716  	0.057745  	0.106561  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.287863  	0.057573  	0.001765  	0.003757  	0.005756  	0.005353  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.01663   	0.004158  	1         	TE4a 
kabALo    	6         	0.137479  	0.125889  	0.054716  	0.100855  	0.010659  	0.13705   	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.566648  	0.094441  	0.031848  	0.01086   	0.008256  	0.001364  	0.003126  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.055453  	0.011091  	2         	kabALos kabALo 
