Children
Word      	Length    	PS1       	PS2       	PS3       	PS4       	PS5       	PS6       	PS7       	PS8       	PS9       	PS10      	PS11      	PS12      	PS13      	PS14      	PS15      	PS sum    	PS avg    	B1        	B2        	B3        	B4        	B5        	B6        	B7        	B8        	B9        	B10       	B11       	B12       	B13       	B14       	B sum     	B avg     	ND        	Neighbors 
pixAma    	6         	0.114944  	0.051302  	0.034402  	0.100855  	0.029643  	0.145787  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.476932  	0.079489  	0.009442  	0.001424  	0.008346  	0.008076  	0.003318  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.030607  	0.006121  	2         	pixAmas pixAma 
plaLE4a   	7         	0.114944  	0.021638  	0.039934  	0.002322  	0.036092  	0.082783  	0.120673  	--        	--        	--        	--        	--        	--        	--        	--        	0.418385  	0.059769  	0.002489  	0.003209  	0.000136  	0.00016   	0.013221  	0.016238  	--        	--        	--        	--        	--        	--        	--        	--        	0.035452  	0.005909  	0         	
rOpa      	4         	0.030381  	0.06341   	0.025937  	0.116044  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.235771  	0.058943  	0.003726  	0.001714  	0.005883  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.011323  	0.003774  	7         	rOxa rOta rOpas rOsa sOpa rOmpa rOpa 
SO4ds     	5         	N/A       	0.06341   	0.103669  	0.03026   	0.06679   	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.26413   	0.052826  	0         	0.006343  	0.00677   	0         	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.013113  	0.003278  	0         	
somb4E4o  	8         	0.064754  	0.103575  	0.054628  	0.026363  	0.106466  	0.03177   	0.061812  	0.22511   	--        	--        	--        	--        	--        	--        	--        	0.674479  	0.08431   	0.005497  	0.011688  	0.0072    	0.001538  	0.00658   	0.016595  	0.014031  	--        	--        	--        	--        	--        	--        	--        	0.06313   	0.009019  	1         	somb4E4o 
swEte4    	6         	0.064754  	0.042496  	0.06555   	0.07096   	0.053165  	0.082783  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.379709  	0.063285  	0.002112  	0.027762  	0.001636  	0.00696   	0.009448  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.047917  	0.009583  	0         	
bestIdo   	7         	0.078686  	0.110117  	0.068327  	0.07096   	0.036372  	0.061444  	0.150231  	--        	--        	--        	--        	--        	--        	--        	--        	0.576137  	0.082305  	0.00979   	0.016969  	0.012372  	0.00783   	0.005934  	0.061247  	--        	--        	--        	--        	--        	--        	--        	--        	0.114143  	0.019024  	3         	bestIdos bestIdo bestIda 
TapAto    	6         	0.016355  	0.125889  	0.025937  	0.100855  	0.080506  	0.13705   	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.486591  	0.081098  	0.002092  	0.00591   	0.004254  	0.002939  	0.02154   	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.036736  	0.007347  	1         	TapAtos 
bA4ba     	5         	0.078686  	0.084683  	0.103669  	0.026363  	0.106561  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.399962  	0.079992  	0.011327  	0.013212  	0.002651  	0.007936  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.035126  	0.008782  	3         	bA4bas bA4ka bA4ba 
bigOte    	6         	0.078686  	0.051302  	0.030055  	0.028711  	0.080506  	0.05723   	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.32649   	0.054415  	0.00443   	0.002613  	0.001087  	0.002825  	0.016791  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.027747  	0.005549  	2         	bigOtes bigOte 
bOka      	4         	0.078686  	0.06341   	0.052741  	0.116044  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.310881  	0.07772   	0.004291  	0.00432   	0.012519  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.02113   	0.007043  	11        	Oka bOta tOka bOra pOka bOla bOlka lOka COka bOka bAka 
b4ATo     	5         	0.078686  	0.0468    	0.03288   	0.011582  	0.056409  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.226357  	0.045271  	0.001005  	0.006544  	0.001092  	0.001068  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.00971   	0.002427  	4         	b4ATos b4ATo ab4aTO ab4ATo 
kabETa    	6         	0.137479  	0.125889  	0.054716  	0.054536  	0.015732  	0.145787  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.53414   	0.089023  	0.031848  	0.01086   	0.004226  	0.002116  	0.002337  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.051386  	0.010277  	1         	kabETa 
kaCEte    	6         	0.137479  	0.125889  	0.012221  	0.054536  	0.080506  	0.05723   	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.467862  	0.077977  	0.031848  	0.000621  	0.000337  	0.006747  	0.016791  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.056344  	0.011269  	0         	
kA4a      	4         	0.137479  	0.084683  	0.103669  	0.116044  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.441875  	0.110469  	0.015554  	0.013212  	0.011972  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.040738  	0.013579  	28        	a4A kAxa xA4a kA4ta kAta kAsa sA4a rA4a kApa pA4a kAma klA4a lA4a kAka kA4ga kAga kAda da4A kATa kab4A kAb4a kAJa kALa kU4a kA4o kaIa kae4A kA4a 
CICi      	4         	0.012061  	0.047164  	0.012221  	0.030168  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.101614  	0.025404  	0.002304  	0.001212  	0.000408  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.003923  	0.001308  	1         	CACi 
pECo      	4         	0.114944  	0.052485  	0.012221  	0.072013  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.251663  	0.062916  	0.006426  	0.000592  	0.002707  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.009726  	0.003242  	12        	eCO ECo pEto tECo pEso pE4o pEro pElo pegO pEgo pEdo pELo 
dEdo      	4         	0.057161  	0.052485  	0.030011  	0.072013  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.211669  	0.052917  	0.005481  	0.003934  	0.005055  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.01447   	0.004823  	9         	dexO dExo dEdos pEdo kedO kEdo dOdo dEdo dAdo 
djEntes   	7         	0.057161  	0.025532  	0.06555   	0.035795  	0.080506  	0.05723   	0.144516  	--        	--        	--        	--        	--        	--        	--        	--        	0.466292  	0.066613  	0.001647  	0.021802  	0.014217  	0.010568  	0.016791  	0.02535   	--        	--        	--        	--        	--        	--        	--        	--        	0.090374  	0.015062  	2         	sjEntes djEntes 
ga4gAnta  	8         	0.025131  	0.125889  	0.103669  	0.021789  	0.071004  	0.082653  	0.080349  	0.144508  	--        	--        	--        	--        	--        	--        	--        	0.654991  	0.081874  	0.004401  	0.01867   	0.001534  	0.003339  	0.016999  	0.01424   	0.049258  	--        	--        	--        	--        	--        	--        	--        	0.10844   	0.015491  	0         	
anxInas   	7         	0.0774    	0.035203  	0.034402  	0.067935  	0.092861  	0.145787  	0.144516  	--        	--        	--        	--        	--        	--        	--        	--        	0.598104  	0.085443  	0.00547   	0.00127   	0.002763  	0.004843  	0.008658  	0.041206  	--        	--        	--        	--        	--        	--        	--        	--        	0.064211  	0.010702  	0         	
Omb4o     	5         	0.008683  	0.011297  	0.054716  	0.057745  	0.056409  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.18885   	0.03777   	0.000541  	0.002136  	0.005756  	0.00511   	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.013543  	0.003386  	1         	Omb4e 
lAbjos    	6         	0.030033  	0.084683  	0.054716  	0.022171  	0.056409  	0.060574  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.308587  	0.051431  	0.005811  	0.005772  	0.004313  	0.003219  	0.017458  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.036572  	0.007314  	1         	lAbjos 
lEngwa    	6         	0.030033  	0.052485  	0.09504   	0.021789  	0.001721  	0.145787  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.346856  	0.057809  	0.003408  	0.006853  	0.005415  	0.000556  	0.000213  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.016446  	0.003289  	0         	
mAno      	4         	0.081036  	0.084683  	0.09504   	0.072013  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.332772  	0.083193  	0.008872  	0.010453  	0.004878  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.024203  	0.008068  	9         	mAxo matO mAto mAnos mAlo mAgo ganO mAndo mAno 
nAlgas    	6         	0.022184  	0.084683  	0.069063  	0.021789  	0.106561  	0.060574  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.364854  	0.060809  	0.001626  	0.008536  	0.002591  	0.00778   	0.019141  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.039674  	0.007935  	0         	
na4IT     	5         	0.022184  	0.125889  	0.103669  	0.067935  	0.015732  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.335409  	0.067082  	0.004575  	0.01867   	0.00866   	0.002308  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.034213  	0.008553  	1         	na4IT 
Oxos      	4         	0.008683  	0.004278  	0.017241  	0.032601  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.062803  	0.015701  	0.001192  	0.001306  	0.004357  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.006855  	0.002285  	6         	Oxo Osos rOxos Oxos Ixos Oxas 
omblIgo   	7         	0.010558  	0.011297  	0.054716  	0.019284  	0.036372  	0.006591  	0.150231  	--        	--        	--        	--        	--        	--        	--        	--        	0.28905   	0.041293  	0.000128  	0.002136  	0.001662  	0.0015    	0.001511  	0.003369  	--        	--        	--        	--        	--        	--        	--        	--        	0.010305  	0.001718  	1         	omblIgo 
o4Exa     	5         	0.010558  	0.0468    	0.06555   	0.007919  	0.106561  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.237389  	0.047478  	0.003087  	0.004314  	0.001593  	0.002097  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.01109   	0.002772  	3         	o4Exas obExa o4Exa 
pAnTa     	5         	0.114944  	0.084683  	0.09504   	0.011582  	0.106561  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.41281   	0.082562  	0.010214  	0.010453  	0.00367   	0.001878  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.026216  	0.006554  	1         	lAnTa 
pElo      	4         	0.114944  	0.052485  	0.069063  	0.072013  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.308505  	0.077126  	0.006426  	0.002419  	0.008361  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.017206  	0.005735  	13        	pEto pElos pEso pE4o pEro relO pegO pEgo pEdo pELo jElo pElo pAlo 
pEne      	4         	0.114944  	0.052485  	0.09504   	0.076687  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.339156  	0.084789  	0.006426  	0.006853  	0.003274  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.016554  	0.005518  	5         	pEpe nEne pEge pOne pEna 
pjE4nas   	7         	0.114944  	0.025532  	0.06555   	0.057745  	0.092861  	0.145787  	0.144516  	--        	--        	--        	--        	--        	--        	--        	--        	0.646936  	0.092419  	0.003715  	0.021802  	0.016511  	0.002056  	0.008658  	0.041206  	--        	--        	--        	--        	--        	--        	--        	--        	0.093949  	0.015658  	2         	pjE4na pjE4nas 
pjEs      	4         	0.114944  	0.025532  	0.06555   	0.032601  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.238627  	0.059657  	0.003715  	0.021802  	0.005092  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.030609  	0.010203  	4         	pjE pwEs pjEl pjEs 
rodILa    	6         	0.030381  	0.103575  	0.030011  	0.067935  	0.010659  	0.145787  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.388348  	0.064725  	0.002934  	0.00397   	0.003171  	0.003303  	0.004175  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.017553  	0.003511  	2         	rodILas rodILa 
baxIna    	6         	0.078686  	0.125889  	0.034402  	0.067935  	0.092861  	0.145787  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.54556   	0.090927  	0.013018  	0.00603   	0.002763  	0.004843  	0.008658  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.035312  	0.007062  	1         	pAxina 
bAd       	3         	0.078686  	0.084683  	0.030011  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.19338   	0.06446   	0.011327  	0.003543  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.014871  	0.007435  	3         	bA bAs bAn 
bu4bUxas  	8         	0.078686  	0.031816  	0.103669  	0.026363  	0.006018  	0.006015  	0.120673  	0.145817  	--        	--        	--        	--        	--        	--        	--        	0.519056  	0.064882  	0.003543  	0.002548  	0.002651  	0.000396  	0.000213  	0.004596  	0.043919  	--        	--        	--        	--        	--        	--        	--        	0.057867  	0.008267  	1         	bu4bUxas 
kolO4es   	7         	0.137479  	0.103575  	0.069063  	0.028711  	0.106466  	0.05723   	0.144516  	--        	--        	--        	--        	--        	--        	--        	--        	0.647041  	0.092434  	0.038837  	0.019712  	0.004554  	0.00648   	0.006163  	0.02535   	--        	--        	--        	--        	--        	--        	--        	--        	0.101096  	0.016849  	1         	kolO4es 
k4aLOlas  	8         	0.137479  	0.0468    	0.039934  	0.002322  	0.014206  	0.041889  	0.120673  	0.145817  	--        	--        	--        	--        	--        	--        	--        	0.549121  	0.06864   	0.003476  	0.008153  	0.000136  	0         	0.00123   	0.013883  	0.043919  	--        	--        	--        	--        	--        	--        	--        	0.070798  	0.010114  	0         	
glObo     	5         	0.025131  	0.021638  	0.006142  	0.026363  	0.056409  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.135683  	0.027137  	0.000529  	0.001115  	0.000428  	0.003093  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.005165  	0.001291  	3         	lObo glObos glObo 
bOmba     	5         	0.078686  	0.06341   	0.054628  	0.026363  	0.106561  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.329648  	0.06593   	0.004291  	0.008167  	0.0072    	0.007936  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.027594  	0.006899  	1         	bOmba 
Oxa       	3         	0.008683  	0.004278  	0.039934  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.052896  	0.017632  	0.001192  	0.001217  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.00241   	0.001205  	14        	xA Oxas Osa O4a orA rOxa mOxa Ola Oka kOxa Oxo Oxa oIa Ixa 
papEl     	5         	0.114944  	0.125889  	0.025937  	0.054536  	0.040113  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.361418  	0.072284  	0.022263  	0.00591   	0.003114  	0.003456  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.034743  	0.008686  	1         	papEl 
xugEte    	6         	0.018094  	0.031816  	0.030055  	0.054536  	0.080506  	0.05723   	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.272236  	0.045373  	0.004333  	0.003769  	0.00141   	0.006747  	0.016791  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.033049  	0.00661   	2         	xugEtes xugEte 
lApiT     	5         	0.030033  	0.084683  	0.025937  	0.030168  	0.015732  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.186554  	0.037311  	0.005811  	0.001863  	0.003561  	0.001964  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.013199  	0.0033    	1         	lApiT 
lIb4o     	5         	0.030033  	0.047164  	0.054716  	0.057745  	0.056409  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.246068  	0.049214  	0.002219  	0.001941  	0.005756  	0.00511   	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.015026  	0.003757  	3         	lIb4os lIb4o lIb4e 
muJEka    	6         	0.081036  	0.031816  	0.01214   	0.054536  	0.026193  	0.145787  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.351508  	0.058585  	0.002983  	0.00213   	0.001467  	0.001822  	0.01194   	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.020341  	0.004068  	3         	muJEkas muJEko muJEka 
osIto     	5         	0.010558  	0.039536  	0.017799  	0.07096   	0.056409  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.195262  	0.039052  	0.001262  	0.001118  	0.002696  	0.008768  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.013844  	0.003461  	3         	osItos osIko osIto 
patInes   	7         	0.114944  	0.125889  	0.060157  	0.067935  	0.092861  	0.05723   	0.144516  	--        	--        	--        	--        	--        	--        	--        	--        	0.663532  	0.09479   	0.022263  	0.011995  	0.007108  	0.004843  	0.003732  	0.02535   	--        	--        	--        	--        	--        	--        	--        	--        	0.075291  	0.012548  	3         	patinE patIne patInes 
pelOta    	6         	0.114944  	0.110117  	0.069063  	0.028711  	0.080506  	0.145787  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.549129  	0.091521  	0.015545  	0.008359  	0.004554  	0.002825  	0.039805  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.071087  	0.014217  	2         	pelOtas pelOta 
pintU4as  	8         	0.114944  	0.051302  	0.09504   	0.07096   	0.006018  	0.082783  	0.120673  	0.145817  	--        	--        	--        	--        	--        	--        	--        	0.687537  	0.085942  	0.009442  	0.006501  	0.032562  	0.000895  	0.001473  	0.016238  	0.043919  	--        	--        	--        	--        	--        	--        	--        	0.11103   	0.015861  	2         	pintU4a pintU4as 
plastilIna	10        	0.114944  	0.021638  	0.039934  	0.032601  	0.080506  	0.008267  	0.024298  	0.01873   	0.074757  	0.12781   	--        	--        	--        	--        	--        	0.543483  	0.054348  	0.002489  	0.003209  	0.005502  	0.011101  	0.0014    	0.001852  	0.002361  	0.011454  	0.009615  	--        	--        	--        	--        	--        	0.048982  	0.005442  	1         	plastilIna 
plUma     	5         	0.114944  	0.021638  	0.006825  	0.020218  	0.106561  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.270187  	0.054037  	0.002489  	0.000338  	0.000136  	0.003     	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.005963  	0.001491  	0         	
plumOnes  	8         	0.114944  	0.021638  	0.005318  	0.020218  	0.014206  	0.082653  	0.061207  	0.145817  	--        	--        	--        	--        	--        	--        	--        	0.466001  	0.05825   	0.002489  	0         	0         	0.00032   	0.006031  	0.00358   	0.025983  	--        	--        	--        	--        	--        	--        	--        	0.038402  	0.005486  	0         	
tambO4    	6         	0.061438  	0.125889  	0.054628  	0.026363  	0.014206  	0.082783  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.365307  	0.060885  	0.004169  	0.011282  	0.0072    	0.001288  	0.002447  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.026386  	0.005277  	1         	tambO4 
bOtas     	5         	0.078686  	0.06341   	0.060157  	0.116044  	0.06679   	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.385087  	0.077017  	0.004291  	0.003372  	0.009495  	0.02193   	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.039088  	0.009772  	6         	bOta rOtas bOlas gOtas bOtas bOtes 
bOlsa     	5         	0.078686  	0.06341   	0.069063  	0.032601  	0.106561  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.350321  	0.070064  	0.004291  	0.005446  	0.001694  	0.002771  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.014201  	0.00355   	4         	bOla bOlka bOlso bOlsa 
babE4o    	6         	0.078686  	0.125889  	0.054716  	0.054536  	0.106466  	0.13705   	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.557343  	0.092891  	0.013018  	0.01086   	0.004226  	0.023214  	0.013466  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.064783  	0.012957  	2         	bakE4o babE4o 
a4Etes    	6         	0.0774    	0.0468    	0.06555   	0.07096   	0.053165  	0.060574  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.37445   	0.062408  	0.00296   	0.004314  	0.001636  	0.00696   	0.011485  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.027354  	0.005471  	0         	
ab4Igo    	6         	0.0774    	0.019126  	0.103669  	0.067935  	0.006539  	0.13705   	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.411719  	0.06862   	0.012287  	0.007551  	0.00866   	0.000983  	0.001452  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.030932  	0.006186  	3         	ab4Igos ab4Ido ab4Igo 
almoAda   	7         	0.0774    	0.021638  	0.054628  	0.072013  	0.071004  	0.061444  	0.120673  	--        	--        	--        	--        	--        	--        	--        	--        	0.478799  	0.0684    	0.005046  	0.000452  	0.003696  	0.000236  	0.021217  	0.013156  	--        	--        	--        	--        	--        	--        	--        	--        	0.043804  	0.007301  	1         	almoAda 
aspi4adO4a	10        	0.0774    	0.039536  	0.025937  	0.030168  	0.106466  	0.145787  	0.058006  	0.013681  	0.070887  	0.12781   	--        	--        	--        	--        	--        	0.695678  	0.069568  	0.004754  	0.004872  	0.003561  	0.000847  	0.0128    	0.00163   	0.002489  	0.008445  	0.013998  	--        	--        	--        	--        	--        	0.053396  	0.005933  	0         	
basU4a    	6         	0.078686  	0.125889  	0.068327  	0.010459  	0.106466  	0.145787  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.535614  	0.089269  	0.013018  	0.009252  	0.000578  	0.001745  	0.0128    	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.037394  	0.007479  	1         	basU4a 
botELa    	6         	0.078686  	0.103575  	0.060157  	0.054536  	0.010659  	0.145787  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.4534    	0.075567  	0.00763   	0.001298  	0.004017  	0.00048   	0.004175  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.0176    	0.00352   	1         	botELa 
mamIla    	6         	0.081036  	0.125889  	0.054628  	0.067935  	0.040113  	0.145787  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.515389  	0.085898  	0.016992  	0.011282  	0.004689  	0.001577  	0.009275  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.043815  	0.008763  	2         	mamIta mamIka 
kAxa      	4         	0.137479  	0.084683  	0.034402  	0.116044  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.372608  	0.093152  	0.015554  	0.003729  	0.009256  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.028539  	0.009513  	17        	kAta kAsa kA4a kApa pAxa kAma kAka kAga kAda kATa bAxa kAJa kALa kOxa kaIa kExa kAxa 
kAma4a    	6         	0.137479  	0.084683  	0.054628  	0.116044  	0.106466  	0.145787  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.645088  	0.107515  	0.015554  	0.00783   	0.007814  	0.010037  	0.0128    	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.054035  	0.010807  	3         	Zama4A kema4A kAma4a 
kanAsta   	7         	0.137479  	0.125889  	0.09504   	0.100855  	0.06679   	0.050821  	0.120673  	--        	--        	--        	--        	--        	--        	--        	--        	0.697547  	0.09965   	0.031848  	0.013107  	0.003047  	0.004492  	0.006076  	0.021302  	--        	--        	--        	--        	--        	--        	--        	--        	0.079872  	0.013312  	0         	
kasEte    	6         	0.137479  	0.125889  	0.068327  	0.054536  	0.080506  	0.05723   	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.523967  	0.087328  	0.031848  	0.009252  	0.003052  	0.006747  	0.016791  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.06769   	0.013538  	1         	kasEta 
TepILod...	15        	0.016355  	0.110117  	0.025937  	0.067935  	0.010659  	0.13705   	0.058006  	0.064852  	0.051596  	0.013998  	N/A       	0.033544  	N/A       	N/A       	N/A       	0.590048  	0.039337  	0.006266  	0.002562  	0.001903  	0.003303  	0.003126  	0.000652  	0.002978  	0         	0         	0         	0         	0         	0         	0         	0.02079   	0.001485  	0         	
TepILo    	6         	0.016355  	0.110117  	0.025937  	0.067935  	0.010659  	0.13705   	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.368053  	0.061342  	0.006266  	0.002562  	0.001903  	0.003303  	0.003126  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.01716   	0.003432  	1         	TepILo 
Te4ILos   	7         	0.016355  	0.110117  	0.103669  	0.067935  	0.010659  	0.13705   	0.144516  	--        	--        	--        	--        	--        	--        	--        	--        	0.590301  	0.084329  	0.006266  	0.012333  	0.00866   	0.003303  	0.003126  	0.06169   	--        	--        	--        	--        	--        	--        	--        	--        	0.095378  	0.015896  	0         	
CupOn     	5         	0.012061  	0.031816  	0.025937  	0.028711  	0.092861  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.191385  	0.038277  	0.001274  	0.001558  	0.0006    	0.010229  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.013662  	0.003415  	0         	
CupEte    	6         	0.012061  	0.031816  	0.025937  	0.054536  	0.080506  	0.05723   	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.262085  	0.043681  	0.001274  	0.001558  	0.003114  	0.006747  	0.016791  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.029484  	0.005897  	2         	CupEte CupAte 
TigAros   	7         	0.016355  	0.051302  	0.030055  	0.100855  	0.00325   	0.13705   	0.144516  	--        	--        	--        	--        	--        	--        	--        	--        	0.483382  	0.069055  	0.000572  	0.002613  	0.009737  	0.00084   	0.001271  	0.06169   	--        	--        	--        	--        	--        	--        	--        	--        	0.076723  	0.012787  	1         	TigAro 
klAbo     	5         	0.137479  	0.021638  	0.03288   	0.026363  	0.056409  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.274769  	0.054954  	0.001822  	0.006218  	0.001905  	0.003093  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.013038  	0.003259  	3         	kAbo lAbo klA4o 
kobIxa    	6         	0.137479  	0.103575  	0.054716  	0.067935  	0.012945  	0.145787  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.522439  	0.087073  	0.038837  	0.005636  	0.006033  	0         	0.00304   	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.053546  	0.010709  	0         	
kwAd4o    	6         	0.137479  	0.042496  	0.03288   	0.03026   	0.106466  	0.13705   	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.486631  	0.081105  	0.009212  	0.007502  	0.001867  	0.004647  	0.013466  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.036695  	0.007339  	3         	kwAt4o kwAd4a kwAd4o 
kubEta    	6         	0.137479  	0.031816  	0.054716  	0.054536  	0.080506  	0.145787  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.504841  	0.08414   	0.004411  	0.004316  	0.004226  	0.006747  	0.039805  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.059504  	0.011901  	0         	
kuCA4a    	6         	0.137479  	0.031816  	0.012221  	0.100855  	0.106466  	0.145787  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.534624  	0.089104  	0.004411  	0.002766  	0.001786  	0.031896  	0.0128    	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.053659  	0.010732  	2         	kuCA4as kuCA4a 
